Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,12:40,SQ153,Singapore Airlines,Phnom Penh (PNH),,,On Schedule
04/04/2024,12:40,TR275,Scoot,Jakarta (CGK),T1,,On Schedule
04/04/2024,12:45,FD376,Thai AirAsia,Phuket (HKT),T4,,On Schedule
04/04/2024,12:50,3K512,Jetstar Asia,Bangkok (Suvarnabhumi) (BKK),T4,,On Schedule
04/04/2024,12:50,8M231,Myanmar Airways International,Yangon (RGN),T1,,On Schedule
04/04/2024,12:50,TR427,Scoot,Penang (PEN),T1,,On Schedule
04/04/2024,12:55,MH603,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,12:55,SQ615,Singapore Airlines,Busan (PUS),,,On Schedule
04/04/2024,12:55,TR453,Scoot,Kuala Lumpur (KUL),T1,,On Schedule
04/04/2024,13:00,AK711,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,13:00,SQ899,Singapore Airlines,Hong Kong (HKG),,,On Schedule
04/04/2024,13:05,SQ705,Singapore Airlines,Bangkok (Suvarnabhumi) (BKK),,,On Schedule
04/04/2024,13:05,SQ725,Singapore Airlines,Phuket (HKT),,,On Schedule
04/04/2024,13:05,SQ935,Singapore Airlines,Bali-Denpasar (DPS),,,On Schedule
04/04/2024,13:15,PR507,Philippine Airlines,Manila (MNL),T1,,On Schedule
04/04/2024,13:15,TR117,Scoot,Zhengzhou (CGO),T1,,On Schedule
04/04/2024,13:20,AK1723,AirAsia,Penang (PEN),T4,,On Schedule
04/04/2024,13:25,OQ2095,Chongqing Airlines,Chongqing (CKG),T1,,On Schedule
04/04/2024,13:25,SQ827,Singapore Airlines,Shanghai (PVG),,,On Schedule
04/04/2024,13:30,SQ923,Singapore Airlines,Surabaya (SUB),,,On Schedule
04/04/2024,13:30,TR281,Scoot,Bali-Denpasar (DPS),T1,,On Schedule
04/04/2024,13:35,TR263,Scoot,Surabaya (SUB),T1,,On Schedule
04/04/2024,13:40,AK713,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,13:40,FD336,Thai AirAsia,Hat Yai (HDY),T4,,On Schedule
04/04/2024,13:40,MF863,Xiamen Airlines,Hangzhou (HGH),T1,,On Schedule
04/04/2024,13:40,SQ133,Singapore Airlines,Penang (PEN),,,On Schedule
04/04/2024,13:45,ID7155,Batik Air,Jakarta (CGK),T3,,On Schedule
04/04/2024,13:45,TR201,Scoot,Yogyakarta (YIA),T1,,On Schedule
04/04/2024,13:50,BR215,EVA Air,Taipei (TPE),T3,,On Schedule
04/04/2024,13:50,MF851,Xiamen Airlines,Xiamen (XMN),T1,,On Schedule
04/04/2024,13:50,TR253,Scoot,Pekanbaru (PKU),T1,,On Schedule
04/04/2024,13:55,3K792,Jetstar Asia,Okinawa (OKA),T4,,On Schedule
04/04/2024,13:55,VJ915,VietJet Air,Hanoi (HAN),T4,,On Schedule
04/04/2024,14:00,MF865,Xiamen Airlines,Fuzhou (FOC),T1,,On Schedule
04/04/2024,14:00,QZ264,Indonesia AirAsia,Jakarta (CGK),T4,,On Schedule
04/04/2024,14:05,FD357,Thai AirAsia,Bangkok (Don Mueang) (DMK),T4,,On Schedule
04/04/2024,14:05,SQ957,Singapore Airlines,Jakarta (CGK),,,On Schedule
04/04/2024,14:15,3K762,Jetstar Asia,Manila (MNL),T4,,On Schedule
04/04/2024,14:15,SQ163,Singapore Airlines,Siem Reap (SAI),,,On Schedule
04/04/2024,14:15,SQ212,Singapore Airlines,Sydney (SYD),,,On Schedule
04/04/2024,14:15,TR625,Scoot,Bangkok (Suvarnabhumi) (BKK),T1,,On Schedule
04/04/2024,14:20,SQ147,Singapore Airlines,Brunei (BWN),,,On Schedule
04/04/2024,14:20,SQ607,Singapore Airlines,Seoul (ICN),,,On Schedule
04/04/2024,14:20,TR809,Scoot,Tokyo (Narita) (NRT),T1,,On Schedule
04/04/2024,14:25,TR491,Scoot,Kota Kinabalu (BKI),T1,,On Schedule
04/04/2024,14:30,TG413,Thai Airways,Bangkok (Suvarnabhumi) (BKK),T1,,On Schedule
04/04/2024,14:30,TR233,Scoot,Makassar (UPG),T1,,On Schedule
04/04/2024,14:30,TR485,Scoot,Ipoh (IPH),T1,,On Schedule
04/04/2024,14:35,GA832,Garuda Indonesia,Jakarta (CGK),T3,,On Schedule
04/04/2024,14:40,AK1773,AirAsia,Kuching (KCH),T4,,On Schedule
04/04/2024,14:40,BG584,Biman Bangladesh Airlines,Dhaka (DAC),T3,,On Schedule
04/04/2024,14:40,MH623,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,14:40,TR101,Scoot,Guangzhou (CAN),T1,,On Schedule
04/04/2024,14:45,HO1601,Juneyao Airlines,Shanghai (PVG),T4,,On Schedule
04/04/2024,14:50,ET638,Ethiopian Airlines,Addis Ababa (ADD),T2,,On Schedule
04/04/2024,14:50,TR187,Scoot,Qingdao (TAO),T1,,On Schedule
04/04/2024,14:50,TR277,Scoot,Jakarta (CGK),T1,,On Schedule
04/04/2024,14:55,SQ727,Singapore Airlines,Phuket (HKT),,,On Schedule
04/04/2024,14:55,SQ937,Singapore Airlines,Bali-Denpasar (DPS),,,On Schedule
04/04/2024,15:00,CA403,Air China,Chengdu (TFU),T1,,On Schedule
04/04/2024,15:00,EK354,Emirates,Dubai (DXB),T1,,On Schedule
04/04/2024,15:00,SQ655,Singapore Airlines,Fukuoka (FUK),,,On Schedule
04/04/2024,15:05,CX739,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,15:05,ID7151,Batik Air,Jakarta (CGK),T3,,On Schedule
04/04/2024,15:10,SQ278,Singapore Airlines,Adelaide (ADL),,,On Schedule
04/04/2024,15:10,TR119,Scoot,Haikou (HAK),T1,,On Schedule
04/04/2024,15:10,TR979,Scoot,Hong Kong (HKG),T1,,On Schedule
04/04/2024,15:15,SQ631,Singapore Airlines,Tokyo (Haneda) (HND),,,On Schedule
04/04/2024,15:20,SQ761,Singapore Airlines,Yangon (RGN),,,On Schedule
04/04/2024,15:25,3U3909,Sichuan Airlines,Chengdu (TFU),T2,,On Schedule
04/04/2024,15:25,CX717,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,15:25,SQ238,Singapore Airlines,Melbourne (MEL),,,On Schedule
04/04/2024,15:30,KL835,KLM Royal Dutch Airlines,Amsterdam (AMS),T1,,On Schedule
04/04/2024,15:30,QZ500,Indonesia AirAsia,Bali-Denpasar (DPS),T4,,On Schedule
04/04/2024,15:30,SQ177,Singapore Airlines,Ho Chi Minh City (SGN),,,On Schedule
04/04/2024,15:30,SQ256,Singapore Airlines,Brisbane (BNE),,,On Schedule
04/04/2024,15:30,TR139,Scoot,Tianjin (TSN),T1,,On Schedule
04/04/2024,15:35,MH619,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,15:35,MU567,China Eastern Airlines,Shanghai (PVG),T3,,On Schedule
04/04/2024,15:40,AK715,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,15:40,SQ707,Singapore Airlines,Bangkok (Suvarnabhumi) (BKK),,,On Schedule
04/04/2024,15:45,QR948,Qatar Airways,Doha (DOH),T1,,On Schedule
04/04/2024,15:50,SQ113,Singapore Airlines,Kuala Lumpur (KUL),,,On Schedule
04/04/2024,15:50,SQ939,Singapore Airlines,Bali-Denpasar (DPS),,,On Schedule
04/04/2024,16:00,CA825,Air China,Shanghai (PVG),T1,,On Schedule
04/04/2024,16:00,NX908,Air Macau,Macau (MFM),T2,,On Schedule
04/04/2024,16:00,SQ671,Singapore Airlines,Nagoya (NGO),,,On Schedule
04/04/2024,16:05,BA11,British Airways,London (Heathrow) (LHR),T1,,On Schedule
04/04/2024,16:05,SQ325,Singapore Airlines,Frankfurt (FRA),,,On Schedule
04/04/2024,16:10,OD807,Batik Air Malaysia,Kuala Lumpur (KUL),T3,,On Schedule
04/04/2024,16:15,TR843,Scoot,Seoul (ICN),T1,,On Schedule
04/04/2024,16:20,LH778,Lufthansa,Frankfurt (FRA),T2,,On Schedule
04/04/2024,16:20,SQ875,Singapore Airlines,Hong Kong (HKG),,,On Schedule
04/04/2024,16:25,CA449,Air China,Chongqing (CKG),T1,,On Schedule
04/04/2024,16:25,PG963,Bangkok Airways,Koh Samui (USM),T1,,On Schedule
04/04/2024,16:30,AF256,Air France,Paris (CDG),T1,,On Schedule
04/04/2024,16:35,FD355,Thai AirAsia,Bangkok (Don Mueang) (DMK),T4,,On Schedule
04/04/2024,16:35,LH790,Lufthansa,Munich (MUC),T2,,On Schedule
04/04/2024,16:40,3K248,Jetstar Asia,Surabaya (SUB),T4,,On Schedule
04/04/2024,16:40,3K686,Jetstar Asia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,16:40,QZ506,Indonesia AirAsia,Bali-Denpasar (DPS),T4,,On Schedule
04/04/2024,16:40,SQ619,Singapore Airlines,Osaka (KIX),,,On Schedule
04/04/2024,16:40,TR385,Scoot,Cebu (CEB),T1,,On Schedule
04/04/2024,16:40,ZH9023,Shenzhen Airlines,Shenzhen (SZX),T1,,On Schedule
04/04/2024,16:45,SQ21,Singapore Airlines,New York (Newark) (EWR),,,On Schedule
04/04/2024,16:50,CZ3039,China Southern Airlines,Guangzhou (CAN),T1,,On Schedule
04/04/2024,16:50,NZ284,Air New Zealand,Auckland (AKL),T3,,On Schedule
04/04/2024,16:50,QF291,Qantas Airways,Sydney (SYD),T1,,On Schedule
04/04/2024,16:50,SQ611,Singapore Airlines,Seoul (ICN),,,On Schedule
04/04/2024,16:55,LX176,SWISS International Airlines,Zurich (ZRH),T2,,On Schedule
04/04/2024,16:55,SQ135,Singapore Airlines,Penang (PEN),,,On Schedule
04/04/2024,16:55,SQ319,Singapore Airlines,London (Heathrow) (LHR),,,On Schedule
04/04/2024,16:55,VJ973,VietJet Air,Da Nang (DAD),T4,,On Schedule
04/04/2024,17:05,SQ191,Singapore Airlines,Hanoi (HAN),,,On Schedule
04/04/2024,17:05,TG407,Thai Airways,Bangkok (Suvarnabhumi) (BKK),T1,,On Schedule
04/04/2024,17:05,TR351,Scoot,Vientiane (VTE),T1,,On Schedule
04/04/2024,17:10,3K242,Jetstar Asia,Bali-Denpasar (DPS),T4,,On Schedule
04/04/2024,17:10,AK1725,AirAsia,Penang (PEN),T4,,On Schedule
04/04/2024,17:10,CI757,China Airlines,Kaohsiung (KHH),T3,,On Schedule
04/04/2024,17:10,SQ155,Singapore Airlines,Phnom Penh (PNH),,,On Schedule
04/04/2024,17:10,SQ959,Singapore Airlines,Jakarta (CGK),,,On Schedule
04/04/2024,17:10,TR285,Scoot,Bali-Denpasar (DPS),T1,,On Schedule
04/04/2024,17:15,NH841,All Nippon Airways,Tokyo (Haneda) (HND),T2,,On Schedule
04/04/2024,17:20,6E1011,IndiGo,Mumbai (BOM),T2,,On Schedule
04/04/2024,17:20,QF51,Qantas Airways,Brisbane (BNE),T1,,On Schedule
04/04/2024,17:20,SQ637,Singapore Airlines,Tokyo (Narita) (NRT),,,On Schedule
04/04/2024,17:25,5J805,Cebu Pacific Air,Manila (MNL),T4,,On Schedule
04/04/2024,17:25,QF2,Qantas Airways,London (Heathrow) (LHR),T1,,On Schedule
04/04/2024,17:25,SQ401,Singapore Airlines,New Delhi (DEL),,,On Schedule
04/04/2024,17:25,VN655,Vietnam Airlines,Ho Chi Minh City (SGN),T3,,On Schedule
04/04/2024,17:30,MH605,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,17:30,SQ232,Singapore Airlines,Sydney (SYD),,,On Schedule
04/04/2024,17:30,SQ331,Singapore Airlines,Paris (CDG),,,On Schedule
04/04/2024,17:35,JL37,Japan Airlines,Tokyo (Haneda) (HND),T1,,On Schedule
04/04/2024,17:40,SQ298,Singapore Airlines,Christchurch (CHC),,,On Schedule
04/04/2024,17:40,SQ525,Singapore Airlines,Chennai (MAA),,,On Schedule
04/04/2024,17:45,6E1013,IndiGo,New Delhi (DEL),T2,,On Schedule
04/04/2024,17:45,BA15,British Airways,London (Heathrow) (LHR),T1,,On Schedule
04/04/2024,17:45,SQ851,Singapore Airlines,Guangzhou (CAN),,,On Schedule
04/04/2024,17:45,TR157,Scoot,Shenyang (SHE),T1,,On Schedule
04/04/2024,17:45,TR301,Scoot,Hanoi (HAN),T1,,On Schedule
04/04/2024,17:50,SQ917,Singapore Airlines,Manila (MNL),,,On Schedule
04/04/2024,17:55,GA842,Garuda Indonesia,Bali-Denpasar (DPS),T3,,On Schedule
04/04/2024,18:00,JQ7,Jetstar International,Melbourne (MEL),T4,,On Schedule
04/04/2024,18:00,QF71,Qantas Airways,Perth (PER),T1,,On Schedule
04/04/2024,18:05,AI346,Air India,Chennai (MAA),T2,,On Schedule
04/04/2024,18:10,3K834,Jetstar Asia,Wuxi (WUX),T4,,On Schedule
04/04/2024,18:10,SQ115,Singapore Airlines,Kuala Lumpur (KUL),,,On Schedule
04/04/2024,18:10,SQ321,Singapore Airlines,London (Heathrow) (LHR),,,On Schedule
