Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,22:05,ID7158,Batik Air,Jakarta (CGK),T3,Check-In Row 1,On Schedule
04/04/2024,22:05,TR160,Scoot,Kunming (KMG),T1,Check-In Row 7,On Schedule
04/04/2024,22:10,NH844,All Nippon Airways,Tokyo (Haneda) (HND),T2,Check-In Row 8,On Schedule
04/04/2024,22:10,SQ856,Singapore Airlines,Shenzhen (SZX),T3,Check-In Row 3,On Schedule
04/04/2024,22:15,TR808,Scoot,Tokyo (Narita) (NRT),T1,Check-In Row 7,On Schedule
04/04/2024,22:20,6E1028,IndiGo,Hyderabad (HYD),T2,Check-In Row 2,On Schedule
04/04/2024,22:20,SQ468,Singapore Airlines,Colombo (CMB),T2,Check-In Row 6,On Schedule
04/04/2024,22:20,TR578,Scoot,Chennai (MAA),T1,Check-In Row 7,On Schedule
04/04/2024,22:25,SQ448,Singapore Airlines,Dhaka (DAC),T2,Check-In Row 5,On Schedule
04/04/2024,22:25,SQ536,Singapore Airlines,Kochi (COK),T3,Check-In Row 3,On Schedule
04/04/2024,22:30,3K591,Jetstar Asia,Phnom Penh (PNH),T4,Check-In Row 7,On Schedule
04/04/2024,22:30,AK1726,AirAsia,Penang (PEN),T4,Check-In Row 4,On Schedule
04/04/2024,22:30,KE644,Korean Air,Seoul (ICN),T4,Check-In Row 5,On Schedule
04/04/2024,22:35,AF257,Air France,Paris (CDG),T1,Check-In Row 2,On Schedule
04/04/2024,22:35,BA16,British Airways,London (Heathrow) (LHR),T1,Check-In Row 10,On Schedule
04/04/2024,22:45,SQ285,Singapore Airlines,Auckland (AKL),T3,Check-In Row 3,On Schedule
04/04/2024,22:50,OZ752,Asiana Airlines,Seoul (ICN),T3,Check-In Row 9,On Schedule
04/04/2024,22:50,SQ636,Singapore Airlines,Tokyo (Haneda) (HND),T2,Check-In Row 6,On Schedule
04/04/2024,22:55,HO1606,Juneyao Airlines,Shanghai (PVG),T4,Check-In Row 3,On Schedule
04/04/2024,22:55,TR562,Scoot,Tiruchirappalli (TRZ),T1,Check-In Row 7,On Schedule
04/04/2024,23:00,AI383,Air India,New Delhi (DEL),T2,Check-In Row 10,On Schedule
04/04/2024,23:10,MU566,China Eastern Airlines,Shanghai (PVG),T3,Check-In Row 10,On Schedule
04/04/2024,23:10,SQ279,Singapore Airlines,Adelaide (ADL),T3,Check-In Row 3,On Schedule
04/04/2024,23:15,QF1,Qantas Airways,London (Heathrow) (LHR),T1,Check-In Row 8,On Schedule
04/04/2024,23:20,BA12,British Airways,London (Heathrow) (LHR),T1,Check-In Row 10,On Schedule
04/04/2024,23:25,AK722,AirAsia,Kuala Lumpur (KUL),T4,Check-In Row 4,On Schedule
04/04/2024,23:25,CA970,Air China,Beijing (Capital) (PEK),T1,Check-In Row 11,On Schedule
04/04/2024,23:25,LH791,Lufthansa,Munich (MUC),T2,Check-In Row 4,On Schedule
04/04/2024,23:30,QF38,Qantas Airways,Melbourne (MEL),T1,Check-In Row 8,On Schedule
